,CountryCode,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit
0,AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Afghan afghani
1,ALB,Albania,Albania,Republic of Albania,AL,Albanian lek
2,DZA,Algeria,Algeria,People's Democratic Republic of Algeria,DZ,Algerian dinar
3,ASM,American Samoa,American Samoa,American Samoa,AS,U.S. dollar
4,ADO,Andorra,Andorra,Principality of Andorra,AD,Euro
5,AGO,Angola,Angola,People's Republic of Angola,AO,Angolan kwanza
6,ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,AG,East Caribbean dollar
7,ARB,Arab World,Arab World,Arab World,1A,
8,ARG,Argentina,Argentina,Argentine Republic,AR,Argentine peso
9,ARM,Armenia,Armenia,Republic of Armenia,AM,Armenian dram
10,ABW,Aruba,Aruba,Aruba,AW,Aruban florin
11,AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar
12,AUT,Austria,Austria,Republic of Austria,AT,Euro
13,AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat
14,BHR,Bahrain,Bahrain,Kingdom of Bahrain,BH,Bahraini dinar
15,BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh,BD,Bangladeshi taka
16,BRB,Barbados,Barbados,Barbados,BB,Barbados dollar
17,BLR,Belarus,Belarus,Republic of Belarus,BY,Belarusian rubel
18,BEL,Belgium,Belgium,Kingdom of Belgium,BE,Euro
